time,evi,ndvi2
2018-12-17,0.25001497050013954,0.07968125180108077
2018-12-20,0.3493712809670036,0.06446580721370057
2019-01-19,0.4359451218423212,-0.00891531152072625
2019-01-26,0.23240380812056352,-0.07678052528077925
2019-02-03,0.2543025595835944,0.19421970275449532
2019-02-13,0.1372309648170857,-0.2600418572919604
2019-02-15,0.22831666217854782,-0.19225164776367987
2019-02-25,0.23171999913285057,-0.20647336879570688
2019-03-10,0.13450727165534873,-0.16858047247744906
2019-03-15,0.14111872813315143,-0.30928181138329686
2019-03-20,0.100936863133215,-0.15208677960680209
2019-03-25,0.1877821279104982,-0.09365631594489157
2019-03-27,0.20670756820267813,-0.23350744329020992
2019-04-24,0.22878173519508002,-0.08258213184828717
2019-05-06,0.2621547632774152,-0.13472988232450514
2019-05-29,0.5787982751025922,-0.14449631983110856
2019-06-15,0.1267611528937219,-0.07920615633347257
2019-06-28,0.3683690257984994,-0.09996584741704327
2019-06-30,0.6915901920853219,0.05347382827926839
2019-08-19,0.4430328544084388,0.018549842563089315
2019-09-03,0.20618099361495898,0.021179526969015705
2019-10-03,0.23375121936646828,0.43318327783364646
2019-10-13,-0.055809847611837216,0.35287928158657755
2019-10-23,0.16416568111705734,0.18893936425678312
2019-11-22,0.3910060083932449,0.2193279140000918
2020-01-01,0.299684143972213,-0.1744989399800391
2020-01-16,0.2809824021993876,0.6600023741033326
2020-01-19,-0.0555015395327397,0.5816217914695057
2020-01-21,0.07841227458913927,0.6495763835473713
2020-01-26,-0.21044113038868412,0.6344118831169275
2020-02-08,0.39047483035032093,0.5358136027133484
2020-02-20,0.0939917795930389,0.43313621188316354
2020-02-28,-0.0424210383324596,-0.00855899852839884
2020-03-01,0.22792434157350155,0.1716814407931031
2020-03-09,-0.01563488789115959,0.33158204707524
2020-03-26,0.1628511670386657,0.11370101614629664
2020-03-31,0.2903805073178363,0.4766228933586266
2020-04-08,0.09488231504945592,-0.0780716553620884
2020-04-30,-1.0608996503278325,0.37755662382721356
2020-05-30,0.3093287445865056,0.022420025342625553
2020-06-12,0.45281178955325446,0.4954510105228308
2020-07-27,0.06013482316216699,0.430475514286161
2020-07-29,0.6181292245433427,0.042673621053110324
2020-08-31,0.02029682982532263,0.001957929457986677
2020-09-20,0.14022563610255817,0.08121784274287386
2020-09-25,0.14110395325763675,0.45757415347959546
2020-10-02,0.17579136748475313,0.16688416194648917
2020-10-15,0.2050698985684067,0.07216358377634995
2020-10-30,0.3054084081290575,0.013573156527099981
2020-11-06,-0.005273802077765141,0.1925762032145679
2020-11-09,0.2942256898035603,0.03422004744368283
2020-11-19,0.23243849752389725,-0.06028941418270697
2020-12-04,0.17278694310702314,0.05240827492219528
2020-12-06,0.366431216327911,-0.09687558553848495
2021-01-05,0.4796942602254996,-0.2244642606012318
2021-01-23,0.2631709089073287,-0.3036743002164776
2021-01-30,0.19986454010820384,-0.25000639929544494
2021-02-02,0.597249943724791,0.045419977321780915
2021-02-04,0.3452078493791969,-0.1320495585557864
2021-02-07,0.3188736060094229,-0.005801316989435376
2021-02-09,0.3705194060693344,-0.11296947971387172
2021-02-12,0.3287782019385375,0.056671260072118736
2021-02-14,0.1827705498601259,0.1888991533819857
2021-02-24,0.2209244102946955,-0.15356037524595018
2021-03-04,0.14161530044067736,-0.09228076222804736
2021-03-16,0.2138227113461599,-0.035165939454225074
2021-03-21,0.17110125381813293,-0.10240491362505413
2021-03-24,0.16069531706848816,0.026261659409488828
2021-03-29,0.2942251194569372,-0.11394496926371527
2021-05-03,-0.10882270265983628,0.21864777390070284
2021-05-10,0.15634511636408854,-0.1529838522069221
2021-05-13,0.172562341522767,-0.06956419724144633
2021-05-20,0.21067736267386705,-0.1796692105862903
2021-06-14,-0.2783701838820035,0.20739727846035041
2021-06-17,0.15264164315443207,-0.05524211157347327
2021-08-08,0.22404847580995693,-0.023950408066291663
2021-08-11,0.018101637607774654,-0.05196114109251188
2021-08-23,-0.09344373166875483,0.18802982374522226
2021-10-05,0.1063772407400772,-0.13745470595601625
2021-10-07,0.23584185067300587,-0.15234722311281926
2021-10-30,0.19821910065016896,-0.08582056974122745
2021-11-06,0.2941277196117969,-0.25647711764291314
2021-11-09,0.37957506486065745,-0.07092975928441099
2021-11-16,0.4727645891271308,-0.502938449367124
2021-12-04,0.3068841694651497,0.021000132455502456
2021-12-06,0.5427063909980842,-0.5505846746549427
2021-12-09,0.2787320493956041,0.031192229658760118
2021-12-16,0.21788930110171992,-0.39207485026796285
2021-12-21,0.2421737865683532,-0.4958939476929122
2022-01-05,0.18357835158768393,0.3062316894991182
2022-01-18,0.2563769288334168,-0.2341191068765356
2022-01-25,0.5704819194799299,0.031915626791054495
2022-01-28,0.3663482700345072,0.02697726520625577
2022-02-12,0.24595104161264958,0.019805187475428643
2022-02-17,0.20065360031811638,0.02241452973470227
2022-02-22,0.20119576481730897,0.01604803261107525
2022-03-11,0.30676974347771857,0.02046285850776718
2022-04-08,1.3669671949898436,0.03127981075002447
2022-05-10,0.35973149210956384,0.011623429054778273
2022-05-15,0.13285764966523764,0.01807813378729064
2022-05-25,0.340683581238005,0.009839140860549081
2022-05-30,0.15484187937452065,0.011070703959592509
2022-06-09,0.20052857340482008,0.008687684721284537
2022-06-19,0.10707388769405579,0.02878722011654436
2022-06-22,-0.1223179819268931,0.019004692568786567
2022-06-24,0.21008257845914113,0.027059084867515504
2022-08-06,0.41703187751030707,0.029923940185749634
2022-08-23,0.04306125283529458,0.03690083917588298
2022-09-17,0.17821673517125844,0.047262209151958105
