time,evi,nrvi,ndwi,gndvi,ndvi,mndwi,ndvi2
2019-02-03,0.04686132729135079,0.15521196892338418,0.5956651295227542,-0.5956651295227542,-0.15521196865874973,0.7123962059915262,0.19613617270808886
2019-02-08,0.08017427834174935,0.13450616543380267,0.40822941314392674,-0.40822941314392674,-0.13450616507000906,0.6787772232749683,0.38265081592076267
2019-02-13,0.0036999473832527207,0.0827428170929866,0.592717202000655,-0.592717202000655,-0.08274281595458531,0.649949533865226,0.03756533520778587
2019-03-10,0.04251473280015651,0.2670464726192534,0.7530134284516192,-0.7530134284516192,-0.2670464715111043,0.7806128891877502,0.0330617945053948
2019-03-15,0.05518624840869365,0.49734310454303476,0.8184226672560385,-0.8184226672560385,-0.49734310455256386,0.850915571453843,0.08306355890243118
2019-03-30,-0.13853146720092166,-0.03485918849625426,-0.0067816332455566605,0.0067816332455566605,0.03485918845685566,0.03726319463891592,0.04391920392048408
2019-04-24,0.001503448218360404,-0.004402725549212481,0.8747464550628153,-0.8747464550628153,0.00440272625288381,0.7861161692773063,-0.2647495895101876
2019-06-28,-0.021314244115062535,0.07220856485557872,0.7844010014112066,-0.7844010014112066,-0.07220856443811235,0.60594430922609,-0.2921760106306885
2020-02-08,-0.013101836569684173,-0.019955921395866872,0.3122104527417357,-0.3122104527417357,0.01995592186421032,0.7515890623104805,0.5889840600073322
2020-03-29,-0.08873449417896748,0.050980534350803665,0.3998570772751097,-0.3998570772751097,-0.050980534058735816,0.6322978362542798,0.349394621097754
2020-04-08,-0.008596316334763415,-0.07384976452632444,0.5974030818136872,-0.5974030818136872,0.07384976594050756,0.7631476730514584,0.311287154982913
2020-09-20,0.00476621191976981,0.06471856072117499,0.5884995711850476,-0.5884995711850476,-0.06471856024926284,0.7697817958536051,0.3037233414983491
2020-09-25,-0.008108319477758402,-0.053460394342057564,0.4968219730951767,-0.4968219730951767,0.053460395701091686,0.8494042992856594,0.6329646435787214
2020-10-15,0.029567893707565587,0.09705325821342632,0.45717401093774307,-0.45717401093774307,-0.09705325715519,0.7145217205603603,0.37483704512688615
2020-10-20,-0.07491392852307953,-0.07369499782442358,0.2489383898818439,-0.2489383898818439,0.07369499865494135,0.4782209874347749,0.2521550817214049
2020-11-19,-0.007204143158956454,-0.013681047837866472,0.24069516810998945,-0.24069516810998945,0.013681047972673006,0.40030437089932525,0.17672736664311578
2020-12-04,0.020694373628376176,0.0169342632205576,0.16717503929300712,-0.16717503929300712,-0.016934263195999086,0.3009569926962103,0.13997769670199228
2021-02-07,0.06017302311514285,0.09073644983158886,0.38928002446144977,-0.38928002446144977,-0.0907364497547723,0.5974302829860483,0.2679346017478344
2021-03-24,0.06131564059795887,0.224934473944995,0.5299173886690315,-0.5299173886690315,-0.22493447358236804,0.611807631713924,0.09493062599802866
2021-04-13,0.027217217942871703,0.6426499379470999,0.9158291446061091,-0.9158291446061091,-0.6426499377514205,0.9190441859782664,-0.06035100217450848
2021-05-03,-0.0024173393135000355,-0.031368792293594905,0.6622428272889284,-0.6622428272889284,0.03136879393352776,0.6454638936859832,-0.06564291663162151
2021-06-17,0.06894188772140497,0.46155659317805575,0.7907724950590287,-0.7907724950590287,-0.46155659257170695,0.8277520548490871,0.08307949669802696
2021-08-11,0.003247616525323669,-0.026282551999636895,0.8185914955592463,-0.8185914955592463,0.02628255359422708,0.8278206851467208,0.007011641446506315
2021-10-30,-0.014185490631261765,-0.029725237829058417,0.22207517972468013,-0.22207517972468013,0.029725237831684348,0.3767832436740146,0.17158837137147342
2021-11-09,0.0014929326961793429,-0.005317671276032578,0.35501903294321,-0.35501903294321,0.005317672002926411,0.5001862210556497,0.18581341690707817
2021-12-04,0.03541867882098901,0.10261694737524935,0.5032847569606276,-0.5032847569606276,-0.10261694655786666,0.6173107214436803,0.1550346305599389
2021-12-09,0.010243627520144292,-0.039040644090742,0.28994677034019123,-0.28994677034019123,0.03904064499671874,0.3917822164137215,0.12423745297912082
2021-12-24,-0.0023845258752851913,0.013985480291734992,0.2155945321427079,-0.2155945321427079,-0.01398548003329156,0.33176352769405837,0.1251713720721327
2022-01-18,0.035037142521832494,0.06065278384916589,0.342198598019126,-0.342198598019126,-0.060652783259978534,0.47139149122906887,0.15654000270381072
2022-02-17,0.01072825080726139,0.002754271065167493,0.03367058125027876,-0.03367058125027876,-0.002754271139262875,0.03492024318289049,0.0011915932584953806
2022-02-22,0.02639425777320408,0.004772629217730271,0.033587416796859615,-0.033587416796859615,-0.004772629638653229,0.0354713591471552,0.0019130069426662906
2022-11-24,-0.018296033371303793,-0.004314833198366644,0.025978027384635085,-0.025978027384635085,0.0043148333993996806,0.05029060091831971,0.024259794881842694
2022-12-24,-0.0048801045710568786,-0.0010632769945029387,0.027739598601595375,-0.027739598601595375,0.0010632771125966545,0.05244816420981116,0.024669014260853453
2023-02-02,-0.22097490250854634,-0.04142879648603253,-0.013540653413653252,0.013540653413653252,0.041428796491762086,0.12844689694501485,0.1414337974293733
2023-02-07,0.03138256129360232,0.006657634914589287,0.04680221528285708,-0.04680221528285708,-0.00665763469796316,0.0605771750901649,0.013886849889743721
2023-02-17,0.007873015681609346,0.0013123713404874877,0.028630055638706485,-0.028630055638706485,-0.0013123718519394395,0.03829709690957939,0.009687156029926815
2023-04-03,-0.003782173498727605,-0.0010348585036161915,0.0290631566676289,-0.0290631566676289,0.0010348580931732255,0.04303609684515619,0.014119388259566603
2023-04-13,-0.015857854439852125,-0.004427725839641733,0.02403428423265573,-0.02403428423265573,0.004427725835361765,0.03319553250282197,0.00911721991188168
