time,evi,ndvi2
2019-03-27,1.1722132099171714,0.2408646735995559
2019-05-06,-0.2663609092189681,0.14647648023310383
2019-06-15,-0.19609028874593956,0.0908077779158309
2019-08-14,1.682136157271917,0.17605215518787357
2019-08-19,1.5660337654017606,0.24916629060338558
2019-09-03,1.5556237709638736,0.2558830991404578
2019-10-13,1.6661017757285914,0.4471037334539922
2019-10-23,1.6209280301634061,0.5411175488830893
2019-11-22,1.7090034470267856,0.506124935364741
2020-01-01,1.3982393677621914,0.19962042902696917
2020-01-26,1.5594611089254062,0.5352829462124833
2020-02-20,1.3658988535886138,0.48603186320962755
2020-03-01,1.2749068730600146,0.2518017929202086
2020-04-30,0.9345134012825316,0.17567168103351963
2020-12-06,1.3627097462786408,0.26151765686213874
2021-01-05,1.3503988763362997,0.21121365015224777
2021-01-30,1.5679990153604813,0.35812248997839846
2021-02-04,1.36255551411747,0.20623336368456863
2021-02-09,1.3837494666282644,0.46756049636430635
2021-02-14,1.2943136929886412,0.3553671841557013
2021-08-08,1.1518917654927197,0.3248890370405284
2021-09-07,1.7541965685817837,0.2761347508210864
2021-10-07,1.5074188403974205,0.16945311650343908
2021-12-06,1.5141099170992114,0.09977427043211831
2021-12-16,1.3692455900586424,0.1652487347259821
2021-12-21,1.2207649493590222,0.40690292912684123
2022-05-15,1.9981422064874659,0.1705123022017857
2022-06-24,-0.1337691018564861,0.18701989372327943
2022-09-17,-0.010522785511594744,0.19031450978882858
2022-10-17,1.7374765647562351,0.25134707066619283
2022-12-16,1.4104013569841922,0.263641662024954
2023-01-05,1.456676674909388,0.26257981061256275
2023-02-04,1.48868539231965,0.2617212340524795
2023-06-19,-0.42785473565122256,0.17191099240657412
2023-09-22,1.6159220174836715,0.2542698281509256
2023-10-22,1.5085346372389243,0.2583040756107008
2023-11-01,1.6219627298579995,0.2558544207133672
2023-12-26,1.6212878440817584,0.2598906248975787
2023-12-31,1.5226540189832596,0.27613044857612057
2024-02-14,1.3462844291181353,0.27121025127686516
2024-02-24,1.6924285225259885,0.26929556457497866
2024-05-14,0.7160525343883399,0.03630390280289203
2024-05-24,-0.42865537325696423,0.15184132302872372
